17/03/22 07:12:43 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/22 07:12:44 INFO client.RMProxy: Connecting to ResourceManager at mastercluster-1-m/10.138.0.3:8032
17/03/22 07:12:45 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/22 07:12:48 INFO input.FileInputFormat: Total input paths to process : 3032
17/03/22 07:12:48 INFO mapreduce.JobSubmitter: number of splits:3032
17/03/22 07:12:48 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490157211500_0006
17/03/22 07:12:48 INFO impl.YarnClientImpl: Submitted application application_1490157211500_0006
17/03/22 07:12:48 INFO mapreduce.Job: The url to track the job: http://mastercluster-1-m:8088/proxy/application_1490157211500_0006/
17/03/22 07:12:48 INFO mapreduce.Job: Running job: job_1490157211500_0006
17/03/22 07:12:55 INFO mapreduce.Job: Job job_1490157211500_0006 running in uber mode : false
17/03/22 07:56:59 INFO mapreduce.Job:  map 93% reduce 5%
17/03/22 07:57:27 INFO mapreduce.Job:  map 94% reduce 5%
17/03/22 07:57:54 INFO mapreduce.Job:  map 95% reduce 5%
17/03/22 07:58:22 INFO mapreduce.Job:  map 96% reduce 5%
17/03/22 07:58:48 INFO mapreduce.Job:  map 97% reduce 5%
17/03/22 07:59:15 INFO mapreduce.Job:  map 98% reduce 5%
17/03/22 07:59:43 INFO mapreduce.Job:  map 99% reduce 5%
17/03/22 07:59:58 INFO mapreduce.Job:  map 99% reduce 6%
17/03/22 08:00:10 INFO mapreduce.Job:  map 100% reduce 6%
17/03/22 08:00:25 INFO mapreduce.Job:  map 100% reduce 7%
17/03/22 08:00:28 INFO mapreduce.Job:  map 100% reduce 12%
17/03/22 08:00:30 INFO mapreduce.Job:  map 100% reduce 15%
17/03/22 08:00:31 INFO mapreduce.Job:  map 100% reduce 21%
17/03/22 08:00:33 INFO mapreduce.Job:  map 100% reduce 22%
17/03/22 08:00:34 INFO mapreduce.Job:  map 100% reduce 24%
17/03/22 08:00:36 INFO mapreduce.Job:  map 100% reduce 25%
17/03/22 08:00:37 INFO mapreduce.Job:  map 100% reduce 26%
17/03/22 08:00:39 INFO mapreduce.Job:  map 100% reduce 27%
17/03/22 08:00:40 INFO mapreduce.Job:  map 100% reduce 28%
17/03/22 08:00:43 INFO mapreduce.Job:  map 100% reduce 29%
17/03/22 08:00:45 INFO mapreduce.Job:  map 100% reduce 30%
17/03/22 08:00:46 INFO mapreduce.Job:  map 100% reduce 31%
17/03/22 08:00:48 INFO mapreduce.Job:  map 100% reduce 32%
17/03/22 08:00:51 INFO mapreduce.Job:  map 100% reduce 33%
17/03/22 08:00:52 INFO mapreduce.Job:  map 100% reduce 34%
17/03/22 08:00:55 INFO mapreduce.Job:  map 100% reduce 35%
17/03/22 08:00:58 INFO mapreduce.Job:  map 100% reduce 36%
17/03/22 08:01:01 INFO mapreduce.Job:  map 100% reduce 37%
17/03/22 08:01:04 INFO mapreduce.Job:  map 100% reduce 38%
17/03/22 08:01:06 INFO mapreduce.Job:  map 100% reduce 39%
17/03/22 08:01:10 INFO mapreduce.Job:  map 100% reduce 40%
17/03/22 08:01:14 INFO mapreduce.Job:  map 100% reduce 44%
17/03/22 08:01:17 INFO mapreduce.Job:  map 100% reduce 45%
17/03/22 08:01:19 INFO mapreduce.Job:  map 100% reduce 48%
17/03/22 08:01:20 INFO mapreduce.Job:  map 100% reduce 49%
17/03/22 08:01:22 INFO mapreduce.Job:  map 100% reduce 54%
17/03/22 08:01:23 INFO mapreduce.Job:  map 100% reduce 55%
17/03/22 08:01:24 INFO mapreduce.Job:  map 100% reduce 58%
17/03/22 08:01:25 INFO mapreduce.Job:  map 100% reduce 60%
17/03/22 08:01:26 INFO mapreduce.Job:  map 100% reduce 61%
17/03/22 08:01:28 INFO mapreduce.Job:  map 100% reduce 62%
17/03/22 08:01:29 INFO mapreduce.Job:  map 100% reduce 63%
17/03/22 08:01:31 INFO mapreduce.Job:  map 100% reduce 64%
17/03/22 08:01:33 INFO mapreduce.Job:  map 100% reduce 65%
17/03/22 08:01:34 INFO mapreduce.Job:  map 100% reduce 66%
17/03/22 08:01:37 INFO mapreduce.Job:  map 100% reduce 67%
17/03/22 08:01:39 INFO mapreduce.Job:  map 100% reduce 68%
17/03/22 08:01:41 INFO mapreduce.Job:  map 100% reduce 69%
17/03/22 08:01:43 INFO mapreduce.Job:  map 100% reduce 70%
17/03/22 08:01:46 INFO mapreduce.Job:  map 100% reduce 71%
17/03/22 08:01:48 INFO mapreduce.Job:  map 100% reduce 75%
17/03/22 08:01:49 INFO mapreduce.Job:  map 100% reduce 76%
17/03/22 08:01:51 INFO mapreduce.Job:  map 100% reduce 78%
17/03/22 08:01:53 INFO mapreduce.Job:  map 100% reduce 79%
17/03/22 08:01:57 INFO mapreduce.Job:  map 100% reduce 80%
17/03/22 08:02:03 INFO mapreduce.Job:  map 100% reduce 81%
17/03/22 08:02:04 INFO mapreduce.Job:  map 100% reduce 89%
17/03/22 08:02:06 INFO mapreduce.Job:  map 100% reduce 90%
17/03/22 08:02:07 INFO mapreduce.Job:  map 100% reduce 92%
17/03/22 08:02:09 INFO mapreduce.Job:  map 100% reduce 93%
17/03/22 08:02:10 INFO mapreduce.Job:  map 100% reduce 94%
17/03/22 08:02:15 INFO mapreduce.Job:  map 100% reduce 95%
17/03/22 08:02:18 INFO mapreduce.Job:  map 100% reduce 96%
17/03/22 08:02:22 INFO mapreduce.Job:  map 100% reduce 97%
17/03/22 08:02:25 INFO mapreduce.Job:  map 100% reduce 98%
17/03/22 08:02:28 INFO mapreduce.Job:  map 100% reduce 99%
